,station_coords,station_names
3294,"'118.948151,31.353733'",临时站
3295,"'118.950161,31.350443'",花山路东
3296,"'118.948227,31.349045'",质检中心
3297,"'118.943289,31.345769'",来一口食品厂
3298,"'118.939913,31.343602'",花山路西(临时站)
3299,"'118.936832,31.341619'",花山路西(临时站)(凯莱服饰大卖场)
3300,"'118.934579,31.340174'",花山路西
3301,"'118.932348,31.341587'",双湖星城
3302,"'118.929774,31.344509'",松园路口
3303,"'118.925812,31.343929'",双湖明珠
3304,"'118.918374,31.33835'",南塘
3305,"'118.913325,31.335722'",体育中心
3306,"'118.906845,31.332144'",双湖景苑
3307,"'118.901993,31.329418'",波西塔诺
3308,"'118.899214,31.32786'",淳辉中学
3309,"'118.894263,31.325056'",电信局
3310,"'118.889937,31.323724'",吴家
3311,"'118.886254,31.324036'",宝塔公园
3312,"'118.883987,31.324263'",凯金广场
3313,"'118.880928,31.324417'",狮子山
3314,"'118.87826,31.324006'",建设银行
3315,"'118.875343,31.323311'",八佰伴
3316,"'118.872818,31.322708'",运管所
3317,"'118.871246,31.32234'",泮池园
3318,"'118.869592,31.322977'",中医院(新院区)
3319,"'118.866363,31.323507'",建工局
3320,"'118.866797,31.325738'",淳中路口
4581,"'119.012765,31.631298'",城南站
4582,"'119.016787,31.636092'",公安分局
4583,"'119.017361,31.63875'",栖凤路南
4584,"'119.017096,31.642938'",看守所
4585,"'119.016832,31.646684'",秀园西苑
4586,"'119.018785,31.648125'",人民法院
4587,"'119.022543,31.648277'",图书馆
4588,"'119.025951,31.65013'",机关幼儿园
4589,"'119.029271,31.650373'",区政府
4590,"'119.031636,31.651094'",弯子口北
4591,"'119.031634,31.655257'",通济街
4592,"'119.031597,31.660456'",明珠桥
4593,"'119.031538,31.664032'",湾塘
4594,"'119.031302,31.668021'",溧水中专学校·电大
4595,"'119.031163,31.670521'",美丽新城
4596,"'119.030988,31.674595'",机场路口
4597,"'119.034931,31.675998'",碧水家园
4598,"'119.041111,31.676393'",东城世家北
4599,"'119.04803,31.676788'",北宸新苑北
4600,"'119.050231,31.673756'",秦淮佳苑
4601,"'119.05037,31.671817'",秦淮佳苑五期
4602,"'119.050617,31.668698'",锦和家园西
5065,"'119.058403,31.62441'",高平大街公交首末站
5066,"'119.055325,31.624608'",高平大街东
5067,"'119.04987,31.625417'",万达广场东
5068,"'119.049818,31.628963'",崇文路口
5069,"'119.039078,31.629972'",中山首府北
5070,"'119.034157,31.629959'",人民医院南
5071,"'119.029732,31.629955'",时代景园北
5072,"'119.027535,31.630738'",第三小学东
5073,"'119.027551,31.634089'",省溧中西站
5074,"'119.02847,31.637214'",南方新城
